race_id,season,round,race_date,circuit_id
428,1985,9,1985-08-04,20
429,1985,10,1985-08-18,70
430,1985,11,1985-08-25,39
431,1985,12,1985-09-08,14
432,1985,13,1985-09-15,13
433,1985,14,1985-10-06,38
434,1985,15,1985-10-19,30
435,1985,16,1985-11-03,29
436,1984,1,1984-03-25,36
437,1984,2,1984-04-07,30
438,1984,3,1984-04-29,40
439,1984,4,1984-05-06,21
440,1984,5,1984-05-20,41
441,1984,6,1984-06-03,6
442,1984,7,1984-06-17,7
443,1984,8,1984-06-24,37
444,1984,9,1984-07-08,42
445,1984,10,1984-07-22,38
446,1984,11,1984-08-05,10
447,1984,12,1984-08-19,70
448,1984,13,1984-08-26,39
449,1984,14,1984-09-09,14
450,1984,15,1984-10-07,20
451,1984,16,1984-10-21,27
452,1983,1,1983-03-13,36
453,1983,2,1983-03-27,43
454,1983,3,1983-04-17,34
455,1983,4,1983-05-01,21
456,1983,5,1983-05-15,6
457,1983,6,1983-05-22,13
458,1983,7,1983-06-05,37
459,1983,8,1983-06-12,7
460,1983,9,1983-07-16,9
461,1983,10,1983-08-07,10
462,1983,11,1983-08-14,70
463,1983,12,1983-08-28,39
464,1983,13,1983-09-11,14
465,1983,14,1983-09-25,38
466,1983,15,1983-10-15,30
467,1982,1,1982-01-23,30
468,1982,2,1982-03-21,36
469,1982,3,1982-04-04,43
470,1982,4,1982-04-25,21
471,1982,5,1982-05-09,40
472,1982,6,1982-05-23,6
473,1982,7,1982-06-06,37
474,1982,8,1982-06-13,7
475,1982,9,1982-07-03,39
476,1982,10,1982-07-18,38
477,1982,11,1982-07-25,34
478,1982,12,1982-08-08,10
479,1982,13,1982-08-15,70
480,1982,14,1982-08-29,41
481,1982,15,1982-09-12,14
482,1982,16,1982-09-25,44
483,1981,1,1981-03-15,43
484,1981,2,1981-03-29,36
485,1981,3,1981-04-12,25
486,1981,4,1981-05-03,21
487,1981,5,1981-05-17,40
488,1981,6,1981-05-31,6
489,1981,7,1981-06-21,45
490,1981,8,1981-07-05,41
491,1981,9,1981-07-18,9
492,1981,10,1981-08-02,10
493,1981,11,1981-08-16,70
494,1981,12,1981-08-30,39
495,1981,13,1981-09-13,14
496,1981,14,1981-09-27,7
497,1981,15,1981-10-17,44
498,1980,1,1980-01-13,25
499,1980,2,1980-01-27,18
500,1980,3,1980-03-01,30
501,1980,4,1980-03-30,43
502,1980,5,1980-05-04,40
503,1980,6,1980-05-18,6
504,1980,7,1980-06-29,34
505,1980,8,1980-07-13,38
506,1980,9,1980-08-10,10
507,1980,10,1980-08-17,70
508,1980,11,1980-08-31,39
509,1980,12,1980-09-14,21
510,1980,13,1980-09-28,7
511,1980,14,1980-10-05,46
512,1979,1,1979-01-21,25
513,1979,2,1979-02-04,18
514,1979,3,1979-03-03,30
515,1979,4,1979-04-08,43
516,1979,5,1979-04-29,45
517,1979,6,1979-05-13,40
518,1979,7,1979-05-27,6
519,1979,8,1979-07-01,41
520,1979,9,1979-07-14,9
521,1979,10,1979-07-29,10
522,1979,11,1979-08-12,70
523,1979,12,1979-08-26,39
524,1979,13,1979-09-09,14
525,1979,14,1979-09-30,7
526,1979,15,1979-10-07,46
527,1978,1,1978-01-15,25
528,1978,2,1978-01-29,36
529,1978,3,1978-03-04,30
530,1978,4,1978-04-02,43
531,1978,5,1978-05-07,6
532,1978,6,1978-05-21,40
533,1978,7,1978-06-04,45
534,1978,8,1978-06-17,47
535,1978,9,1978-07-02,34
536,1978,10,1978-07-16,38
537,1978,11,1978-07-30,10
538,1978,12,1978-08-13,70
539,1978,13,1978-08-27,39
540,1978,14,1978-09-10,14
541,1978,15,1978-10-01,46
542,1978,16,1978-10-08,7
543,1977,1,1977-01-09,25
544,1977,2,1977-01-23,18
545,1977,3,1977-03-05,30
546,1977,4,1977-04-03,43
