race_id,driver_id,constructor_id,position_order,status_id
55,26,5,9,1
55,18,11,10,11
55,27,13,11,11
55,11,8,12,12
55,34,8,13,13
55,31,1,14,10
55,33,13,15,26
55,24,5,16,3
55,30,6,17,3
55,17,3,18,7
55,32,9,19,3
55,15,7,20,3
55,3,3,21,3
55,13,6,22,3
56,30,6,1,1
56,4,4,2,1
56,31,1,3,1
56,13,6,4,1
56,8,1,5,1
56,17,3,6,1
56,18,11,7,1
56,21,4,8,1
56,23,7,9,1
56,22,11,10,1
56,3,3,11,1
56,35,2,12,1
56,2,2,13,11
56,24,5,14,11
56,26,5,15,11
56,33,13,16,12
56,14,9,17,30
56,11,8,18,20
56,32,9,19,9
56,34,8,20,22
56,15,7,21,38
56,27,13,22,3
57,30,6,1,1
57,4,4,2,1
57,13,6,3,1
57,8,1,4,1
57,22,11,5,1
57,21,4,6,1
57,3,3,7,1
57,35,2,8,1
57,15,7,9,11
57,2,2,10,11
57,26,5,11,11
57,33,13,12,11
57,27,13,13,11
57,23,7,14,5
57,31,1,15,5
57,11,8,16,9
57,36,8,17,9
57,18,11,18,5
57,32,9,19,6
57,17,3,20,9
57,14,9,21,3
57,24,5,22,3
58,4,4,1,1
58,30,6,2,1
58,21,4,3,1
58,13,6,4,1
58,8,1,5,1
58,18,11,6,1
58,22,11,7,11
58,2,2,8,11
58,17,3,9,11
58,15,7,10,11
58,3,3,11,11
58,35,2,12,11
58,32,9,13,11
58,14,9,14,11
58,24,5,15,9
58,33,13,16,13
58,11,8,17,14
58,27,13,18,41
58,26,5,19,5
58,23,7,20,40
58,31,1,21,20
58,36,8,22,30
59,4,4,1,1
59,31,1,2,1
59,14,9,3,1
59,22,11,4,1
59,30,6,5,1
59,21,4,6,1
59,2,2,7,11
59,23,7,8,11
59,13,6,9,11
59,24,5,10,11
59,18,11,11,11
59,27,13,12,11
59,26,5,13,11
59,35,2,14,11
59,33,13,15,12
59,36,8,16,13
59,15,7,17,9
59,32,9,18,7
59,3,3,19,3
59,8,1,20,42
59,17,3,21,43
59,11,8,22,10
60,4,4,1,1
60,30,6,2,1
60,8,1,3,1
60,21,4,4,1
60,13,6,5,1
60,31,1,6,1
60,2,2,7,1
60,35,2,8,1
60,3,3,9,1
60,22,11,10,11
60,15,7,11,11
60,14,9,12,11
60,24,5,13,11
60,32,9,14,11
60,27,13,15,11
60,33,13,16,12
60,11,8,17,13
60,36,8,18,13
60,18,11,19,44
60,26,5,20,3
60,23,7,21,3
60,17,3,22,3
61,4,4,1,1
61,30,6,2,1
61,8,1,3,1
61,21,4,4,1
61,13,6,5,1
61,15,7,6,11
61,2,2,7,11
61,14,9,8,11
61,18,11,9,11
61,26,5,10,11
61,32,9,11,11
61,17,3,12,11
61,24,5,13,12
61,33,13,14,14
61,11,8,15,3
61,35,2,16,3
61,23,7,17,31
61,31,1,18,3
61,22,11,19,26
61,36,8,20,5
61,3,3,21,3
61,27,13,22,3
62,30,6,1,1
62,13,6,2,1
62,21,4,3,1
62,15,7,4,1
62,4,4,5,1
62,22,11,6,1
62,14,9,7,11
62,24,5,8,11
62,3,3,9,11
62,23,7,10,45
62,27,13,11,7
62,35,2,12,5
62,33,13,13,3
62,11,8,14,3
62,18,11,15,3
62,8,1,16,3
62,2,2,17,3
62,31,1,18,3
62,17,3,19,3
62,26,5,20,3
62,32,9,21,3
62,36,8,22,3
63,30,6,1,1
63,4,4,2,1
63,13,6,3,1
63,23,7,4,1
63,8,1,5,1
63,21,4,6,1
63,37,1,7,1
63,2,2,8,11
63,14,9,9,11
63,26,5,10,11
63,35,2,11,11
63,32,9,12,11
63,24,5,13,11
63,3,3,14,12
63,27,13,15,12
63,36,8,16,13
63,18,11,17,39
63,17,3,18,46
63,15,7,19,23
63,22,11,20,5
63,33,13,21,26
63,11,8,22,7
64,30,6,1,1
64,13,6,2,1
64,8,1,3,1
64,18,11,4,1
64,4,4,5,1
64,21,4,6,1
64,15,7,7,1
